,Title,Location,Price,Size,Listing_Type
2369,2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",60 OMR,2 Bedrooms Chalet for Rent in Al Batinah Barka,For Rent
2370,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2371,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2372,500 m2 Studio Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",180 OMR,500 m2 Studio Apartments for Rent in Muscat Ghubrah,For Rent
2373,4 m2 3 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",9 OMR,4 m2 3 Bedrooms Apartments for Rent in Muscat Al-Hail,For Rent
2374,Mixed Use Land for Rent in Dhofar Salala,"Dhofar, Salala",10 OMR,Mixed Use Land for Rent in Dhofar Salala,For Rent
2375,600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2376,Furnished Daily in Dhofar Salala,"Dhofar, Salala",16 OMR,Furnished Daily in Dhofar Salala,For Rent
2377,Semi Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",25 OMR,Semi Furnished Monthly in Muscat Al Khoud,For Rent
2378,180 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,180 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2379,400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2380,Furnished Daily in Al Batinah Sohar,"Al Batinah, Sohar",10 OMR,Furnished Daily in Al Batinah Sohar,For Rent
2381,85 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,85 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2382,Furnished Daily in Dhofar Salala,"Dhofar, Salala",10 OMR,Furnished Daily in Dhofar Salala,For Rent
2383,600 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,600 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2384,مصنع للإيجار في الجفنين الصناعية – مناسب كمصنع -ورشه -مكاتب -ومخازن- Factory and offices for Rent,"Muscat, Al Jafnayn","1,500 OMR",مصنع للإيجار في الجفنين الصناعية – مناسب كمصنع -ورشه -مكاتب -ومخازن- Factory and offices for Rent,For Rent
2385,65 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",300 OMR,65 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,For Rent
2386,270 m2 4 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",340 OMR,270 m2 4 Bedrooms Villa for Rent in Muscat Al Maabilah,For Rent
2387,Wadi al kabir-Excellent 2bhk flat-OMR 265-Near to Kuwaiti Mosque!!,"Muscat, Wadi Al Kabir",265 OMR,Wadi al kabir-Excellent 2bhk flat-OMR 265-Near to Kuwaiti Mosque!!,For Rent
2388,333 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",500 OMR,333 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,For Rent
2389,900 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,900 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2390,220 m2 5 Bedrooms Townhouse for Rent in Al Batinah Barka,"Al Batinah, Barka",220 OMR,220 m2 5 Bedrooms Townhouse for Rent in Al Batinah Barka,For Rent
2391,محلات للإيجار سوق مسار في بركاء,"Al Batinah, Barka",230 OMR,محلات للإيجار سوق مسار في بركاء,For Rent
2392,600 m2 More than 6 bedrooms Townhouse for Rent in Al Batinah Barka,"Al Batinah, Barka",200 OMR,600 m2 More than 6 bedrooms Townhouse for Rent in Al Batinah Barka,For Rent
2393,88 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",360 OMR,88 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2394,2 Bedrooms Chalet for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",20 OMR,2 Bedrooms Chalet for Rent in Buraimi Al Buraimi,For Rent
2395,300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2396,333 m2 Studio Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",13 OMR,333 m2 Studio Apartments for Rent in Muscat Al Khoud,For Rent
2397,180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2398,1000 m2 1 Bedroom Apartments for Rent in Dhofar Other,"Dhofar, Other",20 OMR,1000 m2 1 Bedroom Apartments for Rent in Dhofar Other,For Rent
2399,1258 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",10 OMR,1258 m2 Studio Apartments for Rent in Dhofar Salala,For Rent
2400,Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",40 OMR,Furnished Monthly in Muscat Al Khoud,For Rent
2401,600 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,600 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2402,One attached Room for rent in Azaiba,"Muscat, Azaiba",110 OMR,One attached Room for rent in Azaiba,For Rent
2403,محلات للإيجار في المسفاة .. Three Shops and Room for rent in a very good area,"Muscat, Misfah",55 OMR,محلات للإيجار في المسفاة .. Three Shops and Room for rent in a very good area,For Rent
2404,115 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",150 OMR,115 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,For Rent
2405,60 m2 1 Bedroom Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",20 OMR,60 m2 1 Bedroom Apartments for Rent in Muscat Azaiba,For Rent
2406,محلات الإيجار + غرفه وحمام والمطبخ يوجد شقة الإيجار من غرفتين وصالة ودورات المياة ومطبخ,"Muscat, Ansab",1 OMR,محلات الإيجار + غرفه وحمام والمطبخ يوجد شقة الإيجار من غرفتين وصالة ودورات المياة ومطبخ,For Rent
2407,Patient house flat for rent,"Muscat, Wadi Al Kabir",150 OMR,Patient house flat for rent,For Rent
2408,30 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",18 OMR,30 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2409,Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",60 OMR,Furnished Monthly in Muscat Al Mawaleh,For Rent
2410,shop for rent,"Muscat, Al Maabilah",300 OMR,shop for rent,For Rent
2411,BANNER 02 = 5BHK MODERN HOUSE VILLA FOR RENT IN ANSAB,"Muscat, Ansab",500 OMR,BANNER 02 = 5BHK MODERN HOUSE VILLA FOR RENT IN ANSAB,For Rent
2412,400 m2 3 Bedrooms Townhouse for Rent in Muscat Manumah,"Muscat, Manumah",320 OMR,400 m2 3 Bedrooms Townhouse for Rent in Muscat Manumah,For Rent
2413,Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",110 OMR,Unfurnished Monthly in Muscat Al Khoud,For Rent
2414,100 m2 2 Bedrooms Apartments for Rent in Muscat Qurm,"Muscat, Qurm",250 OMR,100 m2 2 Bedrooms Apartments for Rent in Muscat Qurm,For Rent
2415,محل خلفي للايجار في المعبيلة فقط ب90,"Muscat, Al Maabilah",85 OMR,محل خلفي للايجار في المعبيلة فقط ب90,For Rent
2416,Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",10 OMR,Furnished Daily in Muscat Al Khoud,For Rent
2417,Warehouse / Store for rent مخزن / مستودع للايجاد,"Muscat, Other","2,000 OMR",Warehouse / Store for rent مخزن / مستودع للايجاد,For Rent
2418,200 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",30 OMR,200 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,For Rent
2419,850 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,850 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2420,95 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",450 OMR,95 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2421,bedroom on rent,"Muscat, Ansab",130 OMR,bedroom on rent,For Rent
2422,1111 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",250 OMR,1111 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2423,300 m2 3 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",430 OMR,300 m2 3 Bedrooms Apartments for Rent in Muscat Bosher,For Rent
2424,310 m2 5 Bedrooms Townhouse for Rent in Muscat Al-Hail,"Muscat, Al-Hail",500 OMR,310 m2 5 Bedrooms Townhouse for Rent in Muscat Al-Hail,For Rent
2425,Furnished Daily in Muscat Al Mouj,"Muscat, Al Mouj",50 OMR,Furnished Daily in Muscat Al Mouj,For Rent
2426,425 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",170 OMR,425 m2 5 Bedrooms Villa for Rent in Dhofar Salala,For Rent
2427,117 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",170 OMR,117 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2428,Commercial Land for Rent in Dhofar Taqah,"Dhofar, Taqah",35 OMR,Commercial Land for Rent in Dhofar Taqah,For Rent
2429,80 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,80 m2 Studio Apartments for Rent in Muscat Al Khuwair,For Rent
2430,Commercial Land for Rent in Dhofar Taqah,"Dhofar, Taqah",35 OMR,Commercial Land for Rent in Dhofar Taqah,For Rent
2431,80 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,80 m2 Studio Apartments for Rent in Muscat Al Khuwair,For Rent
2432,160 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,160 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2433,90 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",110 OMR,90 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,For Rent
2434,280 m2 2 Bedrooms Apartments for Rent in Muscat Al-Sifah,"Muscat, Al-Sifah",50 OMR,280 m2 2 Bedrooms Apartments for Rent in Muscat Al-Sifah,For Rent
2435,500 m2 2 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",45 OMR,500 m2 2 Bedrooms Apartments for Rent in Dhofar Other,For Rent
2436,400 m2 4 Bedrooms Villa for Rent in Dhofar Mirbat,"Dhofar, Mirbat",60 OMR,400 m2 4 Bedrooms Villa for Rent in Dhofar Mirbat,For Rent
2437,130 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",20 OMR,130 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Sur,For Rent
2438,12 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,12 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2439,Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",120 OMR,Furnished Monthly in Muscat Al Khoud,For Rent
2440,180 m2 3 Bedrooms Townhouse for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",30 OMR,180 m2 3 Bedrooms Townhouse for Rent in Al Dakhiliya Nizwa,For Rent
2441,300 m2 3 Bedrooms Townhouse for Rent in Al Batinah Sohar,"Al Batinah, Sohar",170 OMR,300 m2 3 Bedrooms Townhouse for Rent in Al Batinah Sohar,For Rent
2442,120 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",,120 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2443,104 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",430 OMR,104 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2444,200 m2 3 Bedrooms Apartments for Rent in Dhofar Shalim and The Hallaniyat Island,"Dhofar, Shalim and The Hallaniyat Island",40 OMR,200 m2 3 Bedrooms Apartments for Rent in Dhofar Shalim and The Hallaniyat Island,For Rent
2445,AECO lovely 2 bedroom apartment for family and friends,"Muscat, Qurm",38 OMR,AECO lovely 2 bedroom apartment for family and friends,For Rent
2446,200 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",30 OMR,200 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,For Rent
2447,Furnished Daily in Al Batinah Saham,"Al Batinah, Saham",15 OMR,Furnished Daily in Al Batinah Saham,For Rent
2448,225 m2 3 Bedrooms Townhouse for Rent in Al Batinah Sohar,"Al Batinah, Sohar",450 OMR,225 m2 3 Bedrooms Townhouse for Rent in Al Batinah Sohar,For Rent
2449,4 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,4 Bedrooms Chalet for Rent in Dhofar Salala,For Rent
2450,Luxurious 1 BR newly fully furnished in Muscat Hills,"Muscat, Muscat Hills",400 OMR,Luxurious 1 BR newly fully furnished in Muscat Hills,For Rent
2451,150 m2 1 Bedroom Apartments for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",10 OMR,150 m2 1 Bedroom Apartments for Rent in Al Batinah Suwaiq,For Rent
2452,Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",110 OMR,Furnished Monthly in Muscat Al Khoud,For Rent
2453,218 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,218 m2 3 Bedrooms Villa for Rent in Dhofar Salala,For Rent
2454,110 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",200 OMR,110 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2455,4 Bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",35 OMR,4 Bedrooms Chalet for Rent in Al Batinah Suwaiq,For Rent
2456,600 ft² Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,600 ft² Studio Apartments for Rent in Dhofar Salala,For Rent
2457,80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2458,1 Bedroom Chalet for Rent in Al Batinah Sohar,"Al Batinah, Sohar",25 OMR,1 Bedroom Chalet for Rent in Al Batinah Sohar,For Rent
2459,127 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,127 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2460,2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",140 OMR,2 Bedrooms Chalet for Rent in Al Batinah Barka,For Rent
2461,70 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",19 OMR,70 m2 Studio Apartments for Rent in Dhofar Salala,For Rent
2462,2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,2 Bedrooms Chalet for Rent in Dhofar Salala,For Rent
2463,120 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",250 OMR,120 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,For Rent
2464,110 m2 3 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",25 OMR,110 m2 3 Bedrooms Apartments for Rent in Muscat Bosher,For Rent
2465,Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",105 OMR,Unfurnished Monthly in Muscat Al Mawaleh,For Rent
2466,200 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",35 OMR,200 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2467,400 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,400 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2468,400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",2 OMR,400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2469,60 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,60 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2470,170 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",25 OMR,170 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,For Rent
2471,100 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",190 OMR,100 m2 Studio Apartments for Rent in Muscat Al Khuwair,For Rent
2472,90 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",200 OMR,90 m2 Studio Apartments for Rent in Muscat Al Khuwair,For Rent
2473,Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",100 OMR,Unfurnished Monthly in Muscat Al Mawaleh,For Rent
2474,100 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",20 OMR,100 m2 1 Bedroom Apartments for Rent in Muscat Bosher,For Rent
2475,120 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",20 OMR,120 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,For Rent
2476,190 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",25 OMR,190 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,For Rent
2477,300 m2 5 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",450 OMR,300 m2 5 Bedrooms Apartments for Rent in Muscat Al Maabilah,For Rent
2478,مخزن للايجار بالعامرات بمحطة نفط عمان العقبه يصلح لكثير من الانشطه التجاريه,"Muscat, Amerat",650 OMR,مخزن للايجار بالعامرات بمحطة نفط عمان العقبه يصلح لكثير من الانشطه التجاريه,For Rent
2479,ارض صناعيه بمواصفات عاليه للايجار مركب من اغطيه عازله للحراره وفولتيه كهربائيه عاليه تناسب المصانع,"Muscat, Rusail","1,600 OMR",ارض صناعيه بمواصفات عاليه للايجار مركب من اغطيه عازله للحراره وفولتيه كهربائيه عاليه تناسب المصانع,For Rent
2480,1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,1 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2481,10 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",18 OMR,10 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2482,100 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",480 OMR,100 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,For Rent
2483,24 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",12 OMR,24 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2484,Studio Chalet for Rent in Muscat Halban,"Muscat, Halban",50 OMR,Studio Chalet for Rent in Muscat Halban,For Rent
2485,1000 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,1000 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2486,180 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Ibra,"Al Sharqiya, Ibra",100 OMR,180 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Ibra,For Rent
2487,Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",60 OMR,Unfurnished Monthly in Muscat Al Khoud,For Rent
2488,Private Rooms / Sharing Rooms,"Muscat, Ghubrah",7 OMR,Private Rooms / Sharing Rooms,For Rent
2489,Semi Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",40 OMR,Semi Furnished Monthly in Muscat Al Mawaleh,For Rent
2490,150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2491,1 Bedroom Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",25 OMR,1 Bedroom Chalet for Rent in Al Batinah Barka,For Rent
2492,80 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",260 OMR,80 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,For Rent
2493,Residential Land for Rent in Muscat Other,"Muscat, Other","12,000 OMR",Residential Land for Rent in Muscat Other,For Rent
2494,2 Bedrooms Chalet for Rent in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",25 OMR,2 Bedrooms Chalet for Rent in Al Dakhiliya Bahla,For Rent
2495,4 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",70 OMR,4 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2496,200 m2 3 Bedrooms Townhouse for Rent in Al Batinah Shinas,"Al Batinah, Shinas",120 OMR,200 m2 3 Bedrooms Townhouse for Rent in Al Batinah Shinas,For Rent
2497,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2498,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2499,Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",8 OMR,Furnished Daily in Muscat Al Khoud,For Rent
2500,400 m2 1 Bedroom Townhouse for Rent in Al Batinah Sohar,"Al Batinah, Sohar",50 OMR,400 m2 1 Bedroom Townhouse for Rent in Al Batinah Sohar,For Rent
2501,Unfurnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",110 OMR,Unfurnished Monthly in Muscat Al Maabilah,For Rent
2502,محلات ومكاتب لإيجار موقع حيوي ونشط على شارع العامرات السادسة فترة سماح شهر,"Muscat, Amerat",90 OMR,محلات ومكاتب لإيجار موقع حيوي ونشط على شارع العامرات السادسة فترة سماح شهر,For Rent
2503,100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2504,مكتب مؤثث بالكامل للإيجار في بوشر Luxury  office for rent fully furnished in Bousher,"Muscat, Bosher",620 OMR,مكتب مؤثث بالكامل للإيجار في بوشر Luxury  office for rent fully furnished in Bousher,For Rent
2505,600 m2 More than 6 bedrooms Apartments for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",25 OMR,600 m2 More than 6 bedrooms Apartments for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2506,300 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",500 OMR,300 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2507,100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",12 OMR,100 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2508,Furnished Daily in Dhofar Salala,"Dhofar, Salala",30 OMR,Furnished Daily in Dhofar Salala,For Rent
2509,150 m2 1 Bedroom Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",20 OMR,150 m2 1 Bedroom Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2510,20 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,20 m2 1 Bedroom Apartments for Rent in Dhofar Salala,For Rent
2511,Semi Furnished Yearly in Muscat Al Khuwair,"Muscat, Al Khuwair","10,000 OMR",Semi Furnished Yearly in Muscat Al Khuwair,For Rent
2512,99 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",280 OMR,99 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,For Rent
2513,Semi Furnished Daily in Dhofar Salala,"Dhofar, Salala",5 OMR,Semi Furnished Daily in Dhofar Salala,For Rent
2514,محل للايجار ع شارع العام حيوي,"Al Sharqiya, Jalan Bani buhassan",100 OMR,محل للايجار ع شارع العام حيوي,For Rent
2515,500 m2 More than 6 bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",40 OMR,500 m2 More than 6 bedrooms Apartments for Rent in Dhofar Taqah,For Rent
2516,600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2517,300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,For Rent
2518,500 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",120 OMR,500 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,For Rent
2519,300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,For Rent
2520,Furnished Yearly in Muscat Seeb,"Muscat, Seeb","5,500 OMR",Furnished Yearly in Muscat Seeb,For Rent
2521,Furnished Daily in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",11 OMR,Furnished Daily in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2522,ورشة للايجار صناعية بركاء work shop for rent,"Al Batinah, Barka",550 OMR,ورشة للايجار صناعية بركاء work shop for rent,For Rent
2523,200 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,200 m2 4 Bedrooms Villa for Rent in Dhofar Salala,For Rent
2524,4 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1 OMR,4 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2525,4 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",70 OMR,4 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,For Rent
2526,70 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala","20,000 OMR",70 m2 Studio Apartments for Rent in Dhofar Salala,For Rent
2527,300 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,300 m2 3 Bedrooms Villa for Rent in Dhofar Salala,For Rent
2528,330 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,330 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,For Rent
